cik,company,form,filing_date,document
0001045810,NVIDIA CORP,8-K,2021-05-26,nvda-20210526.htm
0001045810,NVIDIA CORP,DEFA14A,2021-05-21,nvda2021defa14aproxysupple.htm
0001045810,NVIDIA CORP,8-K,2021-05-21,nvda-20210521.htm
0001045810,NVIDIA CORP,DEFA14A,2021-04-23,noticeof2021annualmeeting.htm
0001045810,NVIDIA CORP,DEF 14A,2021-04-23,nvda2021definitiveproxysta.htm
0001045810,NVIDIA CORP,8-K,2021-04-12,nvda-20210412.htm
0001045810,NVIDIA CORP,8-K,2021-03-19,nvda-20210315.htm
0001045810,NVIDIA CORP,10-K,2021-02-26,nvda-20210131.htm
0001045810,NVIDIA CORP,8-K,2021-02-24,nvda-20210224.htm
0001045810,NVIDIA CORP,SC 13G/A,2021-02-10,tv01517-nvidiacorp.htm
0001045810,NVIDIA CORP,SC 13G/A,2021-02-08,filing.txt
0001045810,NVIDIA CORP,SC 13G/A,2021-01-29,us67066g1040_012921.txt
0001045810,NVIDIA CORP,10-Q,2020-11-18,nvda-20201025.htm
0001045810,NVIDIA CORP,8-K,2020-11-18,nvda-20201118.htm
0001045810,NVIDIA CORP,8-K,2020-11-09,nvda-20201109.htm
0001045810,NVIDIA CORP,8-K,2020-09-14,d13958d8k.htm
0001045810,NVIDIA CORP,10-Q,2020-08-19,nvda-20200726.htm
0001045810,NVIDIA CORP,8-K,2020-08-19,nvda-20200819.htm
0001045810,NVIDIA CORP,8-K,2020-07-13,nvda-20200713.htm
0001045810,NVIDIA CORP,8-K,2020-06-15,a8-k2020annualmeetingr.htm
0001045810,NVIDIA CORP,10-Q,2020-05-21,nvda-20200426.htm
0001045810,NVIDIA CORP,8-K,2020-05-21,nvda-20200521.htm
0001045810,NVIDIA CORP,DEFA14A,2020-04-29,noticeof2020annualmeeting.htm
0001045810,NVIDIA CORP,DEF 14A,2020-04-29,nvda2020definitiveproxysta.htm
0001045810,NVIDIA CORP,8-K,2020-04-27,form8-kmellanoxclosing.htm
0001045810,NVIDIA CORP,8-K,2020-04-17,mellanoxantitrustappro.htm
0001045810,NVIDIA CORP,8-K,2020-03-31,d904626d8k.htm
0001045810,NVIDIA CORP,8-K,2020-03-10,form8-kfy2021variablec.htm
0001045810,NVIDIA CORP,10-K,2020-02-20,nvda-2020x10k.htm
0001045810,NVIDIA CORP,8-K,2020-02-13,form8-kq4fy20.htm
0001045810,NVIDIA CORP,SC 13G/A,2020-02-12,tv01719-nvidiacorp.htm
0001045810,NVIDIA CORP,SC 13G/A,2020-02-07,filing.txt
0001045810,NVIDIA CORP,SC 13G/A,2020-02-05,us67066g1040_020520.txt
0001652044,Alphabet Inc.,SCHEDULE 13G/A,2026-02-17,xslSCHEDULE_13G_X01/primary_doc.xml
0001652044,Alphabet Inc.,8-K,2026-02-13,d946885d8k.htm
0001652044,Alphabet Inc.,13F-HR,2026-02-13,xslForm13F_X02/primary_doc.xml
0001652044,Alphabet Inc.,10-K,2026-02-05,goog-20251231.htm
0001652044,Alphabet Inc.,8-K,2026-02-04,goog-20260204.htm
0001652044,Alphabet Inc.,13F-HR,2025-11-07,xslForm13F_X02/primary_doc.xml
0001652044,Alphabet Inc.,8-K,2025-11-06,d56115d8k.htm
0001652044,Alphabet Inc.,10-Q,2025-10-30,goog-20250930.htm
0001652044,Alphabet Inc.,8-K,2025-10-29,goog-20251029.htm
0001652044,Alphabet Inc.,8-K,2025-09-05,goog-20250905.htm
0001652044,Alphabet Inc.,8-K,2025-09-03,goog-20250902.htm
0001652044,Alphabet Inc.,SCHEDULE 13G/A,2025-08-14,xslSCHEDULE_13G_X01/primary_doc.xml
0001652044,Alphabet Inc.,13F-HR,2025-08-01,xslForm13F_X02/primary_doc.xml
0001652044,Alphabet Inc.,10-Q,2025-07-24,goog-20250630.htm
0001652044,Alphabet Inc.,8-K,2025-07-23,goog-20250723.htm
0001652044,Alphabet Inc.,8-K,2025-07-18,d21412d8k.htm
0001652044,Alphabet Inc.,8-K,2025-06-12,d949049d8k.htm
0001652044,Alphabet Inc.,8-K,2025-05-06,d859422d8k.htm
0001652044,Alphabet Inc.,13F-HR,2025-05-02,xslForm13F_X02/primary_doc.xml
0001652044,Alphabet Inc.,8-K,2025-05-01,d884388d8k.htm
0001652044,Alphabet Inc.,DEFA14A,2025-04-25,goog012701-defa14a.htm
0001652044,Alphabet Inc.,DEF 14A,2025-04-25,goog012701-def14a.htm
0001652044,Alphabet Inc.,10-Q,2025-04-25,goog-20250331.htm
0001652044,Alphabet Inc.,8-K,2025-04-24,goog-20250423.htm
0001652044,Alphabet Inc.,8-K,2025-04-18,goog-20250417.htm
0001652044,Alphabet Inc.,8-K,2025-03-18,goog-20250318.htm
0001652044,Alphabet Inc.,SCHEDULE 13G/A,2025-02-18,xslSCHEDULE_13G_X01/primary_doc.xml
0001652044,Alphabet Inc.,13F-HR,2025-02-07,xslForm13F_X02/primary_doc.xml
0001652044,Alphabet Inc.,10-K,2025-02-05,goog-20241231.htm
0001652044,Alphabet Inc.,8-K,2025-02-04,goog-20250204.htm
0001652044,Alphabet Inc.,13F-HR,2024-11-08,xslForm13F_X02/primary_doc.xml
0001652044,Alphabet Inc.,10-Q,2024-10-30,goog-20240930.htm
0001652044,Alphabet Inc.,8-K,2024-10-29,goog-20241029.htm
0001652044,Alphabet Inc.,8-K,2024-10-17,d627891d8k.htm
0001652044,Alphabet Inc.,8-K,2024-09-24,goog-20240924.htm
0001652044,Alphabet Inc.,8-K,2024-08-06,goog-20240805.htm
0001652044,Alphabet Inc.,13F-HR,2024-08-02,xslForm13F_X02/primary_doc.xml
